User,Phone No
ADM_001,9900123456
ADM_001,9845012345
ADM_002,9900123456
ADM_002,9845012345
ADM_003,9900123456
ADM_003,9845012345
USR_001,9900123456
USR_001,9845012345
USR_002,9900123456
USR_002,9845012345
USR_003,9900123456
USR_003,9845012345
USR_004,9900123456
USR_004,9845012345
USR_005,9900123456
USR_005,9845012345
USR_006,9900123456
USR_006,9845012345
USR_007,9900123456
USR_007,9845012345
USR_008,9900123456
USR_008,9845012345
USR_009,9900123456
USR_009,9845012345
USR_010,9900123456
USR_010,9845012345
USR_011,9900123456
USR_011,9845012345
USR_012,9900123456
USR_012,9845012345
USR_013,9900123456
USR_013,9845012345
USR_014,9900123456
USR_014,9845012345
USR_015,9900123456
USR_015,9845012345
USR_016,9900123456
USR_016,9845012345
USR_017,9900123456
USR_017,9845012345
USR_018,9900123456
USR_018,9845012345
USR_019,9900123456
USR_019,9845012345
USR_020,9900123456
USR_020,9845012345
USR_021,9900123456
USR_021,9845012345
USR_022,9900123456
USR_022,9845012345
USR_023,9900123456
USR_023,9845012345
USR_024,9900123456
USR_024,9845012345
USR_025,9900123456
USR_025,9845012345
USR_026,9900123456
USR_026,9845012345
USR_027,9900123456
USR_027,9845012345
USR_028,9900123456
USR_028,9845012345
USR_029,9900123456
USR_029,9845012345
USR_030,9900123456
USR_030,9845012345
